x,y,lat,lon
13950441,16138987,48.420756,37.484051
13951518,16126182,48.344058,37.493742
13963620,16133179,48.385983,37.602562
13950085,16156045,48.5227445,37.4808448
13943741,16151781,48.4972722,37.4238039
13951638,16142426,48.4413359,37.4948086
13954280,16130386,48.3692462,37.5185662
13966607,16141979,48.4386546,37.6294098
